Product,Detection,Additional_Information,Technique
ExtraHop,Overwhelmed Memcache Data Transfer,overwhelmed_memcache_data_transfer,T1499: Endpoint Denial of Service
ExtraHop,Overwhelmed Redis Data Transfer,overwhelmed_redis_data_transfer,T1499: Endpoint Denial of Service
ExtraHop,Past Connection to a New Suspicious Domain,retrospective_ti_domain_connection,"T1041: Exfiltration Over C2 Channel, T1189: Drive-by Compromise, T1566: Phishing, T1573: Encrypted Channel"
ExtraHop,Past Connection to a New Suspicious IP Address,retrospective_ti_ip_address_connection,"T1041: Exfiltration Over C2 Channel, T1189: Drive-by Compromise, T1566: Phishing, T1573: Encrypted Channel"
ExtraHop,Ping Scan,ping_scan,T1018: Remote System Discovery
ExtraHop,PoshC2 HTTP Connection,poshc2_http,T1071: Application Layer Protocol
ExtraHop,PoshC2 SSL/TLS Connection,poshc2_tls,T1071: Application Layer Protocol
ExtraHop,PowerShell Remoting Activity,wsman_activity,T1021: Remote Services
ExtraHop,Ransomware Activity,ransomware_activity,T1486: Data Encrypted for Impact
ExtraHop,Rare Database Table Access,rare_database_table_access,T1213: Data from Information Repositories
ExtraHop,Rare SSH Port,rare_ssh_port,"T1021: Remote Services, T1571: Non-Standard Port"
ExtraHop,RDP Attack Tool Activity,suspicious_rdp_client,T1110: Brute Force
ExtraHop,RDP Brute Force,rdp_brute_force,T1110: Brute Force
ExtraHop,RDP Session Enumeration,msrpc_rdp_session_enum,"T1018: Remote System Discovery, T1021: Remote Services, T1049: System Network Connections Discovery"
ExtraHop,Redline Stealer HTTP Activity,redline_stealer_http,"T1041: Exfiltration Over C2 Channel, T1071: Application Layer Protocol"
ExtraHop,Remote Control SSH Traffic,interactive_traffic_ssh,"T1008: Fallback Channels, T1104: Multi-Stage Channels, T1205: Traffic Signaling, T1219: Remote Access Software, T1572: Protocol Tunneling, T1573: Encrypted Channel"
ExtraHop,Remote Log Deletion,rpc_log_deletion_srv,T1070: Indicator Removal on Host
ExtraHop,Remote Registry Modification,remote_reg_setvalue,"T1037: Boot or Logon Initialization Scripts, T1112: Modify Registry, T1543: Create or Modify System Process, T1546: Event Triggered Execution, T1547: Boot or Logon Autostart Execution, T1562: Impair Defenses"
ExtraHop,Remote Service Launch,psexec_activity,"T1210: Exploitation of Remote Services, T1569: System Services"
ExtraHop,Remote System Shutdown,rpc_remote_shutdown,T1529: System Shutdown/Reboot
ExtraHop,Request to External LDAP Server,external_ldap_req,"T1040: Network Sniffing, T1041: Exfiltration Over C2 Channel, T1048: Exfiltration Over Alternative Protocol, T1071: Application Layer Protocol"
ExtraHop,Request to External NFS Server,external_nfs_req,T1204: User Execution
ExtraHop,REvil Suspicious Connection (Kaseya Supply Chain),kaseya_ml_ip,"T1195: Supply Chain Compromise, T1486: Data Encrypted for Impact, T1490: Inhibit System Recovery"
ExtraHop,Ripple20 ICMP Scan,ripple20_icmp_scan,"T1018: Remote System Discovery, T1046: Network Service Scanning"
ExtraHop,Ripple20 IP in IP Exploit Attempt,ripple20_ip_in_ip,T1574: Hijack Execution Flow
ExtraHop,Ripple20 IP in IP Exploit Attempt,ripple20_ip_in_ip_ipaddr,T1574: Hijack Execution Flow
ExtraHop,Scheduled Task Activity (ATSVC),msrpc_scheduled_task_via_atsvc,T1053: Scheduled Task/Job
ExtraHop,Scheduled Task Activity (ITaskSchedulerService),msrpc_scheduled_task_via_ITaskSchedulerService,T1053: Scheduled Task/Job
ExtraHop,Scheduled Task Enumeration,scheduled_task_enumeration,"T1053: Scheduled Task/Job, T1082: System Information Discovery"
ExtraHop,Shellshock DHCP Exploit Attempt,shellshock_dhcp,T1190: Exploit Public-Facing Application
ExtraHop,Shellshock HTTP Exploit Attempt,shellshock_http,T1190: Exploit Public-Facing Application
ExtraHop,SIP Brute Force,sip_brute_force,T1110: Brute Force
ExtraHop,SMB/CIFS Access Denied Errors,smb_cifs_access_denied_errors,T1039: Data from Network Shared Drive
ExtraHop,SMB/CIFS Account Errors,smb_cifs_valid_login_errors,T1039: Data from Network Shared Drive
ExtraHop,SMB/CIFS Brute Force,smb_cifs_brute_force,T1110: Brute Force
ExtraHop,SMB/CIFS Data Staging,suspicious_smb_cifs_data_reads,"T1039: Data from Network Shared Drive, T1114: Email Collection"
ExtraHop,SMB/CIFS Named Pipe Beaconing,smb_named_pipe_beaconing,T1071: Application Layer Protocol
ExtraHop,SMB/CIFS Privileged Pipe,smb_cifs_privileged_pipe,T1559: Inter-Process Communication
ExtraHop,SMB/CIFS Share Enumeration,smb_cifs_share_enumeration,T1135: Network Share Discovery
ExtraHop,Spike in AAA Failed Login Attempts,aaa_brute_force,T1110: Brute Force
ExtraHop,Spike in Email Traffic Volume,spike_in_email_traffic_volume,T1566: Phishing
ExtraHop,Spike in RDP Sessions,spike_in_rdp_sessions,"T1021: Remote Services, T1210: Exploitation of Remote Services"
ExtraHop,Spike in SSH Sessions,spike_in_ssh_sessions,T1110: Brute Force
ExtraHop,Spike in Telnet Connections,spike_in_telnet_connections,T1021: Remote Services
ExtraHop,Spike in VNC Sessions,spike_in_rfb_sessions,T1210: Exploitation of Remote Services
ExtraHop,Spoofed SSL/TLS Certificate,spoofed_self_signed_ssl_certificate,T1071: Application Layer Protocol
ExtraHop,SQL Injection (SQLi) Attack,sqli_attack,T1190: Exploit Public-Facing Application
ExtraHop,SSH Brute Force,ssh_brute_force,T1110: Brute Force
ExtraHop,SSH Brute Force with Successful Login,ssh_brute_force_success_login,T1110: Brute Force
ExtraHop,SSL/TLS Connection to a Cryptocurrency Mining Pool,cryptomining_pool_ssl_connection,T1496: Resource Hijacking
ExtraHop,SSL/TLS Connection to a Suspicious Host,ti_ssl_sni,"T1041: Exfiltration Over C2 Channel, T1189: Drive-by Compromise, T1566: Phishing, T1573: Encrypted Channel"
ExtraHop,Stalled Data Transfer,stalled_data_transfer,T1498: Network Denial of Service
ExtraHop,SUNBURST C&C Activity,sunburst,"T1001: Data Obfuscation, T1008: Fallback Channels, T1071: Application Layer Protocol, T1104: Multi-Stage Channels, T1132: Data Encoding, T1568: Dynamic Resolution, T1573: Encrypted Channel"
ExtraHop,SUPERNOVA Web Shell,supernova_web_shell_command,"T1027: Obfuscated Files or Information, T1041: Exfiltration Over C2 Channel, T1071: Application Layer Protocol, T1105: Ingress Tool Transfer, T1505: Server Software Component"
ExtraHop,Suspicious FTP Download,suspicious_ftp_download,T1105: Ingress Tool Transfer
ExtraHop,Suspicious HTTP File Received,suspicious_http_file,T1189: Drive-by Compromise
ExtraHop,Suspicious NFS File Reads,suspicious_nfs_file_reads,T1074: Data Staged
ExtraHop,Suspicious NFS File Share Access,suspicious_nfs_file_share_access,T1074: Data Staged
ExtraHop,Suspicious SMB/CIFS File Reads,suspicious_smb_cifs_file_reads,T1039: Data from Network Shared Drive
ExtraHop,Suspicious SMB/CIFS File Share Access,suspicious_smb_cifs_file_share_access,"T1485: Data Destruction, T1486: Data Encrypted for Impact"
ExtraHop,Suspicious SMB/CIFS Named Pipe,suspicious_smb_named_pipe,T1071: Application Layer Protocol
ExtraHop,Suspicious SSL/TLS Certificates,suspicious_ssl_cert,"T1041: Exfiltration Over C2 Channel, T1071: Application Layer Protocol"
ExtraHop,"TCP NULL, FIN, or XMAS Scan",tcp_null_fin_or_xmas_scan,T1046: Network Service Scanning
ExtraHop,TCP SYN Scan,tcp_syn_scan,T1046: Network Service Scanning
ExtraHop,Telnet Password,telnet_password,"T1021: Remote Services, T1110: Brute Force"
ExtraHop,Treck TCP/IP Network Stack Detected,ripple20_icmp_treck,"T1018: Remote System Discovery, T1046: Network Service Scanning"
ExtraHop,UDP Port Scan,udp_port_scan,T1046: Network Service Scanning
ExtraHop,Unconventional Data Transfer,unconventional_data_transfer,T1074: Data Staged
ExtraHop,Unconventional External Connection,unconventional_new_external_host,"T1041: Exfiltration Over C2 Channel, T1071: Application Layer Protocol, T1612: Build Image on Host"
ExtraHop,Unconventional Internal Connection,unconventional_new_internal_host,"T1046: Network Service Scanning, T1083: File and Directory Discovery, T1210: Exploitation of Remote Services, T1599: Network Boundary Bridging"
ExtraHop,Unconventional Protocol Communication,unconventional_new_protocol,T1021: Remote Services
ExtraHop,Unconventional RDP Behavior,unconventional_rdp_behavior,T1021: Remote Services
ExtraHop,Unconventional RDP Data Transfer,unconventional_rdp_data_transfer,T1074: Data Staged
ExtraHop,Unconventional SMB/CIFS Data Transfer,unconventional_smb_cifs_data_transfer,"T1039: Data from Network Shared Drive, T1074: Data Staged"
ExtraHop,Unconventional SSH Behavior,unconventional_ssh_behavior,T1110: Brute Force
ExtraHop,Unconventional SSH Data Transfer,unconventional_ssh_data_transfer,T1074: Data Staged
ExtraHop,Unconventional Telnet Data Transfer,unconventional_telnet_data_transfer,T1074: Data Staged
ExtraHop,Unconventional VNC Behavior,unconventional_rfb_behavior,T1219: Remote Access Software
ExtraHop,Unconventional VNC Data Transfer,unconventional_rfb_data_transfer,T1074: Data Staged
ExtraHop,Unencrypted Zoom Data,unencrypted_zoom,T1040: Network Sniffing
ExtraHop,Unencrypted Zoom Data,unencrypted_zoom_individual,T1040: Network Sniffing
ExtraHop,Unsafe LDAP Authentication,unsafe_ldap_auth,"T1040: Network Sniffing, T1078: Valid Accounts"
ExtraHop,Unsafe LDAP Authentication,unsafe_ldap_auth_individual,"T1040: Network Sniffing, T1078: Valid Accounts"
ExtraHop,Unusual Download from S3 Bucket,unusual_s3_download,"T1074: Data Staged, T1530: Data from Cloud Storage Object"
ExtraHop,Unusual Executable File Download,external_exec_file_download,T1204: User Execution
ExtraHop,Unusual Host Connection from a High Value Device,high_value_device_unusual_host,"T1071: Application Layer Protocol, T1095: Non-Application Layer Protocol"
ExtraHop,Unusual HTML Application (HTA) File Download,suspicious_hta_download,"T1204: User Execution, T1218: Signed Binary Proxy Execution"
ExtraHop,Unusual Interactive Traffic from a Remote Desktop,interactive_traffic_remote_desktop,"T1008: Fallback Channels, T1104: Multi-Stage Channels, T1205: Traffic Signaling, T1219: Remote Access Software, T1572: Protocol Tunneling, T1573: Encrypted Channel"
ExtraHop,Unusual Interactive Traffic from an External Endpoint,interactive_traffic_shell,"T1008: Fallback Channels, T1059: Command and Scripting Interpreter, T1104: Multi-Stage Channels, T1205: Traffic Signaling, T1219: Remote Access Software, T1505: Server Software Component, T1572: Protocol Tunneling, T1573: Encrypted Channel"
ExtraHop,Unusual IoT Protocol Activity,unusual_iot_protocol,T1071: Application Layer Protocol
ExtraHop,Unusual Kerberos Fingerprint,unusual_kerberos_fingerprint,T1558: Steal or Forge Kerberos Tickets
ExtraHop,Unusual LDAP Query Activity,unusual_ldap_query_activity,"T1018: Remote System Discovery, T1069: Permission Groups Discovery, T1087: Account Discovery, T1482: Domain Trust Discovery, T1615: Group Policy Discovery"
ExtraHop,Unusual Login Time,unusual_user_login_time,T1078: Valid Accounts
ExtraHop,Unusual Protocol Connection from a High Value Device,high_value_device_unusual_protocol,"T1071: Application Layer Protocol, T1095: Non-Application Layer Protocol"
ExtraHop,Unusual Protocol for Enterprise Software,unusual_protocol_for_enterprise_software,"T1071: Application Layer Protocol, T1095: Non-Application Layer Protocol"
ExtraHop,Unusual Sensitive Data Transfer,sensitive_data_transfer,"T1020: Automated Exfiltration, T1029: Scheduled Transfer, T1030: Data Transfer Size Limits, T1041: Exfiltration Over C2 Channel, T1048: Exfiltration Over Alternative Protocol, T1567: Exfiltration Over Web Service"
ExtraHop,Unusual SMB/CIFS Executable File Transfer,suspicious_smb_cifs_file_transfer,"T1080: Taint Shared Content, T1570: Lateral Tool Transfer"
ExtraHop,Unusual User Creation,abnormal_user_creation,T1136: Create Account
ExtraHop,User Session Enumeration,msrpc_netsession_enum,T1087: Account Discovery
ExtraHop,VNC Brute Force,rfb_brute_force,T1110: Brute Force
ExtraHop,VPN Client Data Exfiltration,data_exfil_by_vpn,T1048: Exfiltration Over Alternative Protocol
ExtraHop,VPN Gateway Access from an Unusual Location,vpn_gateway_unusual_location,T1133: External Remote Services
ExtraHop,Weak Kerberos Encryption,weak_kerberos_encryption_attempt,T1558: Steal or Forge Kerberos Tickets
ExtraHop,Web Directory Scan,web_directory_scan,"T1083: File and Directory Discovery, T1518: Software Discovery"
ExtraHop,Windows Account Enumeration,local_admin_enumeration,"T1069: Permission Groups Discovery, T1087: Account Discovery"
ExtraHop,Windows Registry Enumeration,msrpc_registry_enumeration_via_winreg,"T1012: Query Registry, T1112: Modify Registry"
ExtraHop,WordPress Brute Force,wordpress_brute_force,T1110: Brute Force
